ticker,cur,pxusd,tier,nS,sumS,sqS,nC,sumC,sqC
WBC.AX,AUD,26.82,mid,207,-364.120,6268.384,908,-393.348,7673.063
ANZ.AX,AUD,26.68,mid,139,-67.354,520.906,878,-379.244,3202.779
WES.AX,AUD,63.71,mid,217,-96.799,1303.436,882,-347.236,2410.032
MQG.AX,AUD,186.98,large,26,-33.658,61.730,754,-228.452,1628.368
FMG.AX,AUD,12.74,small,127,79.899,379.409,828,-151.195,1463.741
WOW.AX,AUD,28.48,mid,65,-52.525,216.030,787,-327.187,1572.214
TLS.AX,AUD,3.52,micro,27,-5.617,29.071,729,-538.963,1553.291
GMG.AX,AUD,21.18,mid,3,-1.564,2.475,553,-221.337,695.648
RIO.AX,AUD,125.64,large,178,-264.643,1919.779,867,-258.042,3346.151
WDS.AX,AUD,22.54,mid,139,-199.469,989.839,887,-567.428,5687.954
TCL.AX,AUD,10.26,small,10,-10.179,12.848,760,-503.995,2848.876
ALL.AX,AUD,46.36,mid,33,30.583,107.465,763,-205.085,1179.824
COL.AX,AUD,17.10,small,2,1.021,0.688,161,-52.300,222.996
STO.AX,AUD,5.42,small,137,-169.730,1468.413,913,-603.983,8902.052
QBE.AX,AUD,17.27,small,87,-99.851,399.743,887,-439.004,3443.181
REA.AX,AUD,122.68,large,11,-6.101,14.661,663,-129.072,946.026
WTC.AX,AUD,28.98,mid,6,-1.876,1.938,238,-21.711,423.170
NCM.AX,,,skip,0,0,0,0,0,0
XRO.AX,AUD,54.13,mid,8,-8.370,8.760,357,-38.343,645.075
SHL.AX,AUD,15.73,small,149,-27.230,224.767,845,-328.099,1351.849
CPU.AX,AUD,30.35,mid,16,-4.605,10.061,775,-290.853,1261.062
RMD.AX,AUD,20.41,mid,13,6.495,13.970,673,-189.801,1098.214
JHX.AX,AUD,30.53,mid,230,-133.765,748.045,886,-279.993,2512.550
COH.AX,AUD,88.28,mid,11,8.208,23.985,737,-187.395,1319.458
BXB.AX,AUD,14.39,small,119,-179.864,529.446,848,-744.164,5300.975
ORG.AX,AUD,7.65,small,12,5.876,24.815,687,-219.047,1127.625
AMC.AX,AUD,47.49,mid,170,-322.811,9009.892,914,-577.723,8158.445
SUN.AX,AUD,13.67,small,48,-69.758,160.493,844,-812.704,11811.078
