claim,source,journal,year,category,definition,testable,data_needed,meta
Value,Fama and French (1992),Journal of Finance,,positioning/flow,Return on a zero-investment portfolio long in growth stocks and short in value stocks,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Illiquidity,Brennan and Subrahmanyam (1996),Journal of Financial Economics,1996,price,Derivative transaction price with respect to signed trade size,yes,OHLCV 33y + 1m intraday,HLZ
Within-industry size,"Asness, Porter and Stevens (2000)",Working Paper,2000,other,Difference between firm size and average firm size within the industry,unknown,,HLZ
Within-industry value,"Asness, Porter and Stevens (2000)",Working Paper,2000,fundamental,Difference between firm book-to-market ratio and average book-to-market ratio within the industry,no-data,needs paid fundamentals depth,HLZ
Within-industry cashflow to price ratio,"Asness, Porter and Stevens (2000)",Working Paper,2000,positioning/flow,Difference between firm cashflow to price ratio and average cashflow to price ratio within the industry,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Within-industry momentum,"Asness, Porter and Stevens (2000)",Working Paper,2000,price,Difference between firm past stock prices and average past stock prices within the industry,yes,OHLCV 33y + 1m intraday,HLZ
Information uncertainty,"Jiang, Lee and Zhang (2005)",Review of Accounting Studies,2005,risk/vol,"Information uncertainty proxied by firm age, return volatility, trading volume or cash flow duration",yes,OHLCV 33y + 1m intraday,HLZ
R&D reporting biases,"Lev, Sarath and Sougiannis (2005)",Contemporary Accounting Research,2005,fundamental,R&D reporting biases proxied by the difference between R&D growth and earnings growth,no-data,needs paid fundamentals depth,HLZ
Realized-implied volatility spread,Bali and Hovakimian (2009),Management Science,2009,risk/vol,Difference between past realized volatility and the average of call and put implied volatility,yes,OHLCV 33y + 1m intraday,HLZ
Call-put implied volatility spread,Bali and Hovakimian (2009),Management Science,,risk/vol,Difference between call and put implied volatility,yes,OHLCV 33y + 1m intraday,HLZ
Idiosyncratic skewness,"Boyer, Mitton and Vorkink (2010)",Review of Financial Studies,2010,risk/vol,Skewness forecasted using firm level predictive variables,yes,OHLCV 33y + 1m intraday,HLZ
Excess multiple,"An, Bhojraj and Ng (2010)","Journal of Accounting, Auditing & Finance",2010,other,Excess multiple calculated as the difference between the accounting multiple and the warranted multiple obtained by regressing the cross-section of firm multiples on accounting variables,unknown,,HLZ
Intra-industry return reversals,"Hameed, Huang and Mian (2010)",Working Paper,2010,price,Intra-industry return reversals captured by the return difference between loser stocks and winners stocks based on relative monthly performance within the industry,yes,OHLCV 33y + 1m intraday,HLZ
Excess cash,Simutin (2010),Financial Management,2010,other,Most recently available ratio of cash to total assets,unknown,,HLZ
Extreme downside risk,"Huang, Liu, Rhee and Wu (2010)",Journal of Banking and Finance,2010,other,Extreme downside risk proxied by the left tail index in the classical generalized extreme value distribution,unknown,,HLZ
Residual income,Balachandran and Mohanram (2011),Review of Accounting Studies,2011,fundamental,Firm residual income growth extracted from firm earnings growth,no-data,needs paid fundamentals depth,HLZ
Stock skewness,"Conrad, Dittmar and Ghysels (2012)",Journal of Finance,2012,risk/vol,Ex ante stock risk-neutral skewness implied by option prices,yes,OHLCV 33y + 1m intraday,HLZ
Expected return proxy,"Burlacu, Fontaine, Jimenez-Garces and Seasholes (2012)",Journal of Financial Economics,2012,price,Logistic transformation of the fit (R^2) from a regression of returns on past prices,yes,OHLCV 33y + 1m intraday,HLZ
Default risk,Vassalou and Xing (2004),Journal of Finance,2004,options,Firm default likelihood using Merton's option pricing model,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Long-run market volatility,Adrian and Rosenberg (2008),Journal of Finance,,risk/vol,Low frequency volatility extracted from a time-series model of market returns,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Vanden (2004),Review of Financial Studies,2004,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Predicted earnings increase score,Wahlen and Wieland (2011),Review of Accounting Studies,2011,fundamental,Predicted earnings increase score based on financial statement information,no-data,needs paid fundamentals depth,HLZ
Short-run market volatility,Adrian and Rosenberg (2008),Journal of Finance,2008,risk/vol,High frequency volatility extracted from a time-series model of market returns,yes,OHLCV 33y + 1m intraday,HLZ
Earnings sustainability,Penman and Zhang (2002),Working Paper,2002,fundamental,A summary score based on firm fundamentals that informs about the sustainability of earning,no-data,needs paid fundamentals depth,HLZ
Adjusted R&D,"Lev, Nissim and Thomas (2005)",Working Paper,2005,fundamental,Adjusted R&D that incorporates capitalization and amortization,no-data,needs paid fundamentals depth,HLZ
Forecasted earnings per share,"Cen, Wei and Zhang (2006)",Working Paper,2006,positioning/flow,Analysts' forecasted earnings per share,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Acceleration,Gettleman and Marks (2006),Working Paper,2006,price,Firm's ranking on change in six-month momentum relative to the cross-section of other firms,yes,OHLCV 33y + 1m intraday,HLZ
Change in order backlog,Baik and Ahn (2007),Seoul Journal of Business,2007,other,Change in order backlog,unknown,,HLZ
Insider forecasts of firm volatility,"James, Fodor and Peterson (2007)",Working Paper,2007,risk/vol,Future firm volatility obtained from executive stock options,yes,OHLCV 33y + 1m intraday,HLZ
Information in order backlog,"Gu, Wang and Ye (2008)",Working Paper,2008,fundamental,Changes in order backlog on future profitability,no-data,needs paid fundamentals depth,HLZ
Cash flow volatility,Huang (2009),Journal of Empirical Finance,2009,risk/vol,Rolling standard deviation of the standardized cashflow over the past sixteen quarters,yes,OHLCV 33y + 1m intraday,HLZ
Long-run idiosyncratic volatility,Cao and Xu (2010),Working Paper,2010,risk/vol,Long-run idiosyncratic volatility filtered from idiosyncratic volatility using HP filters,yes,OHLCV 33y + 1m intraday,HLZ
Earnings distributed to equity holders,"Papanastasopoulos, Thomakos and Wang (2010)",Review of Accounting & Finance,2010,fundamental,Earnings distributed to equity holders,no-data,needs paid fundamentals depth,HLZ
Net cash distributed to equity holders,"Papanastasopoulos, Thomakos and Wang (2010)",Review of Accounting & Finance,2010,fundamental,Dividends minus stock issues,no-data,needs paid fundamentals depth,HLZ
Volatility of liquidity,"Akbas, Armstrong and Petkova (2011)",Working Paper,2011,risk/vol,Measured by the price impact of trade as in Amihud (2002),yes,OHLCV 33y + 1m intraday,HLZ
Accrual volatility,"Bandyopadhyay, Huang and Wirjanto (2011)",Working Paper,2011,risk/vol,Firm accrual volatility measured by the standard deviation of the ratio of accruals to sales,yes,OHLCV 33y + 1m intraday,HLZ
Overreaction to nonfundamental price changes,"Da, Liu and Schaumburg (2011)",Working Paper,2011,positioning/flow,"Overreaction to within-industry discount rate shocks as captured by decomposing the short-term reversal into across-industry return momentum, within-industry variation in expected returns, under-reaction to within-industry cash flow news and overreac",partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Firm productivity,Imrohoroglu and Tuzel (2011),Working Paper,2011,other,"Firm level total factor productivity estimated from firm value added, employment and capital",unknown,,HLZ
Asset growth,Nyberg and Poyry (2011),Working Paper,2011,fundamental,Yearly percentage change in total balance sheet assets,no-data,needs paid fundamentals depth,HLZ
Customer-base concentration,Patatoukas (2011),Working Paper,2011,other,Annual change in customer-base concentration,unknown,,HLZ
Expected return uncertainty,"Baltussen, Bekkum, Van Der Grient (2012)",Working Paper,2012,risk/vol,Proxied by the volatility of option-implied volatility,yes,OHLCV 33y + 1m intraday,HLZ
Change in call implied volatility,"Ang, Bali and Cakici (2012)",Working Paper,2012,risk/vol,Change in call implied volatility,yes,OHLCV 33y + 1m intraday,HLZ
Change in put implied volatility,"Ang, Bali and Cakici (2012)",Working Paper,2012,risk/vol,Change in put implied volatility,yes,OHLCV 33y + 1m intraday,HLZ
Abnormal operating cash flows,Li (2012),Working Paper,2012,positioning/flow,Abnormal operating cash flows,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Abnormal production costs,Li (2012),Working Paper,2012,other,Abnormal production costs,unknown,,HLZ
Earnings forecast optimism,So (2012),Working Paper,2012,positioning/flow,Difference between characteristic forecasts and analyst forecasts,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Fraud probability,"Beneish, Lee and Nichols (2013)",Financial Analysts Journal,2012,other,Probability of manipulation based on accounting variables,unknown,,HLZ
Bad private information,"Brennan, Huh and Subrahmanyam (2013)",Working Paper,2013,other,"Decomposing the PIN measure of Easley, Hvidkjaer and O'Hara (2002) into two elements that reflect informed trading on good news and bad news",unknown,,HLZ
Consumption volatility,Boguth and Kuehn (2012),Journal of Finance,2012,risk/vol,Filtered consumption growth volatility from a Markov regime-switching model based on historical consumption data,yes,OHLCV 33y + 1m intraday,HLZ
Illiquidity,"Chordia, Huh and Subrahmanyam (2009)",Review of Financial Studies,2009,microstructure,Estimated using structural formula in line with Kyle's (1985) lambda,partial,"volume/range only, no L2",HLZ
Investor sentiment,Baker and Wurgler (2006),Journal of Finance,2006,other,Composite sentiment index based on various sentiment measures,unknown,,HLZ
Market volatility and jumps,"Cremers, Halling and Weinbaum (2010)",Working Paper,2010,risk/vol,Estimated based on S&P index option returns,yes,OHLCV 33y + 1m intraday,HLZ
Takeover likelihood,"Cremers, Nair and John (2009)",Review of Financial Studies,2009,other,Estimated via a logit model of regressing ex-post acquisition indicator on various firm- and industry-level accounting variables,unknown,,HLZ
Trend signal,Han and Zhou (2013),Working Paper,2013,positioning/flow,"Return on a zero-investment portfolio long in past winners and short in past losers based on short-term, intermediate-term and long-term stock price trends",partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Earnings management likelihood,Beneish (1997),Journal of Accounting and Public Policy,1997,fundamental,Earnings management likelihood obtained by regressiong realized  violators of Generally Accepted Accounting Principles on firm characteristics,no-data,needs paid fundamentals depth,HLZ
Transaction costs,Amihud and Mendelson (1986),Journal of Financial Economics,1986,other,THEORY,unknown,,HLZ
Market skewness,"Chang, Christoffersen and Jacobs (2012)",Journal of Financial Economics,2012,risk/vol,Higher moments of market returns estimated from daily index options,yes,OHLCV 33y + 1m intraday,HLZ
Patent citation,Gu (2005),"Journal of Accounting, Auditing & Finance",2005,other,Change of patent citation impact deflated by average total assets,unknown,,HLZ
Information revelation,Gokcen (2009),Working Paper,2009,price,Monthly estimate of the daily correlation between absolute returns and dollar volume,yes,OHLCV 33y + 1m intraday,HLZ
Local unemployment,Korniotis and Kumar (2009),Working Paper,2009,other,Relative state unemployment,unknown,,HLZ
Local housing collateral,Korniotis and Kumar (2009),Working Paper,2009,other,State-level housing collateral,unknown,,HLZ
Total volatility,Douglas (1967),Yale Economic Essays,1967,risk/vol,Individual stock volatility,yes,OHLCV 33y + 1m intraday,HLZ
Trader composition,Shu (2007),Working Paper,2007,positioning/flow,Fraction of total trading volume of a stock from institutional trading,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Ticker symbol,"Head, Smith and Wilson (2007)",Quarterly Review of Economics & Finance,2007,other,Creativity in stocks' ticker symbols,unknown,,HLZ
Firm information quality,"Armstrong, Banerjee and Corona (2010)",Working Paper,2010,risk/vol,"Firm information quality proxied by analyst forecasts, idiosyncratic volatility and standard errors of beta estimates",yes,OHLCV 33y + 1m intraday,HLZ
Projected earnings accuracy,"Hess, Kreutzmann and Pucker (2011)",Working Paper,2011,positioning/flow,Skilled analysts identified by both past earnings forecasts accuracy and skills,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Firm productivity,Brown and Rowe (2007),Working Paper,2007,price,Firm productivity measured by returns on invested capital,yes,OHLCV 33y + 1m intraday,HLZ
Earning forecasts uncertainty,Ackert and Athanassakos (1997),Journal of Financial Research,1997,fundamental,Standard deviation of earnings forecasts,no-data,needs paid fundamentals depth,HLZ
Real asset liquidity,Ortiz-Molina and Phillips (2011),Working Paper,2011,microstructure,Number of potential buyers for a firm's assets from within the industry,partial,"volume/range only, no L2",HLZ
Long-term growth forecasts,Bauman and Dowen (1988),Financial Analyst Journal,1988,fundamental,Long-term growth forecasts proxied by the five-year earnings per share growth rate forecasts,no-data,needs paid fundamentals depth,HLZ
Capital stock,Balvers and Huang (2007),Journal of Financial Economics,,macro,Quarterly capital stock interpolated from annual data,partial,Yahoo proxies (FRED blocked),HLZ
Productivity,Balvers and Huang (2007),Journal of Financial Economics,2007,macro,Productivity level as in King and Rebelo (2000),partial,Yahoo proxies (FRED blocked),HLZ
Return reversals at the style level,Teo and Woo (2004),Journal of Financial Economics,2004,price,Zero-investment portfolios sorted based on past return performance at the style level,yes,OHLCV 33y + 1m intraday,HLZ
Corporate bond return,"Fogler, John and Tipton (1981)",Journal of Finance,,options,Index of long-term Aa utility bonds with deferred calls returns,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Treasury bond return,"Fogler, John and Tipton (1981)",Journal of Finance,,price,3-month US Treasury bill return,yes,OHLCV 33y + 1m intraday,HLZ
Goodwill impairment,Gu and Lev (2008),Accounting Review,2008,price,Buyers' overpriced shares at acquisition,yes,OHLCV 33y + 1m intraday,HLZ
Average variance of equity returns,Chen and Petkova (2012),Review of Financial Studies,2012,risk/vol,Decomposition of market variance into an average correlation component and an average variance component,yes,OHLCV 33y + 1m intraday,HLZ
Cash flow covariance with aggregate consumption,Da (2009),Journal of Finance,2009,risk/vol,Cash flow covariance with aggregate consumption,yes,OHLCV 33y + 1m intraday,HLZ
Cash flow duration,Da (2009),Journal of Finance,,positioning/flow,Cash flow duration sensitivity to aggregate consumption,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Cash flow news,Campbell and Vuolteenaho (2004),American Economic Review,2004,positioning/flow,News about future market cash flow,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Change in expected inflation,"Chan, Chen and Hsieh (1985)",Journal of Financial Economics,,macro,Change in expected inflation as defined in Fama and Gibbons (1984),partial,Yahoo proxies (FRED blocked),HLZ
Consumption growth,Lettau and Ludvigson (2001),Journal of Political Economy,2001,macro,Per capita real consumption growth rate,partial,Yahoo proxies (FRED blocked),HLZ
Consumption growth,"Breeden, Gibbons and Litzenberger (1989)",Journal of Finance,1989,macro,Per capita real consumption growth,partial,Yahoo proxies (FRED blocked),HLZ
Consumption-wealth ratio,Lettau and Ludvigson (2001),Journal of Political Economy,,macro,Proxied by a weighted average of human and nonhuman wealth,partial,Yahoo proxies (FRED blocked),HLZ
Credit premium,"Chan, Chen and Hsieh (1985)",Journal of Financial Economics,,price,"Risk premium measured as difference in return between ``under Baa"" bond portfolio and long-term government bond portfolio",yes,OHLCV 33y + 1m intraday,HLZ
Credit risk,Fama and French (1993),Journal of Financial Economics,,price,Difference in return between long-term corporate bond and long-term government bond,yes,OHLCV 33y + 1m intraday,HLZ
Discount rate news,Campbell and Vuolteenaho (2004),American Economic Review,,other,News about future market discount rate,unknown,,HLZ
Durable and nondurable consumption growth,Yogo (2006),Journal of Finance,2006,macro,Durable and nondurable consumption growth,partial,Yahoo proxies (FRED blocked),HLZ
Financing frictions,"Gomes, Yaron and Zhang (2006)",Review of Financial Studies,2006,microstructure,Default premium,partial,"volume/range only, no L2",HLZ
Garbage growth,Savov (2011),Journal of Finance,2011,macro,Realized annual garbage growth,partial,Yahoo proxies (FRED blocked),HLZ
High order market and bond return,Bansal and Viswanathan (1993),Journal of Finance,1993,price,High order equity index returns and bond returns,yes,OHLCV 33y + 1m intraday,HLZ
Investment growth,Xing (2008),Review of Financial Studies,2008,positioning/flow,Return on a zero-investment portfolio long in low investment growth firms and short in high investment growth firms,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Long run consumption,"Bansal, Dittmar and Lundblad (2005)",Journal of Finance,2005,positioning/flow,Cash flow risk measured by cointegration residual with aggregate consumption,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
Long-horizon consumption growth,Parker and Julliard (2005),Journal of Political Economy,2005,macro,Three-year consumption growth rate,partial,Yahoo proxies (FRED blocked),HLZ
Market return,Dittmar (2002),Journal of Finance,2002,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,"Chan, Chen and Hsieh (1985)",Journal of Financial Economics,1985,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Fama and French (1993),Journal of Financial Economics,1993,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Maximum Sharpe ratio portfolio,"Brennan, Wang and Xia (2004)",Journal of Finance,,macro,Maximum Sharpe ratio portfolio extracted from a time-series model of bond yields and expected inflation,partial,Yahoo proxies (FRED blocked),HLZ
Money growth,"Chan, Foresi and Lang (1996)",Journal of Finance,1996,macro,"M2 or M3 minus currency, divided by total population",partial,Yahoo proxies (FRED blocked),HLZ
Nonlinear functions of consumption growth,Chapman (1997),Journal of Finance,1997,macro,Low order orthonormal polynomials of current and future consumption growth,partial,Yahoo proxies (FRED blocked),HLZ
Real interest rate,"Brennan, Wang and Xia (2004)",Journal of Finance,2004,macro,Real interest rates extracted from a time-series model of bond yields and expected inflation,partial,Yahoo proxies (FRED blocked),HLZ
Returns on physical investment,Cochrane (1996),Journal of Political Economy,1996,price,Inferred from investment data via a production function,yes,OHLCV 33y + 1m intraday,HLZ
Squared labor income growth,Dittmar (2002),Journal of Finance,,other,Squared smoothed labor income growth rate,unknown,,HLZ
Squared market return,Dittmar (2002),Journal of Finance,,price,Squared equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Tax rate for capital gains,Bossaerts and Dammon (1994),Journal of Finance,1994,fundamental,Short-term capital gains tax rate,no-data,needs paid fundamentals depth,HLZ
Tax rate for dividend,Bossaerts and Dammon (1994),Journal of Finance,,fundamental,Dividend tax rate,no-data,needs paid fundamentals depth,HLZ
Term structure,"Chan, Chen and Hsieh (1985)",Journal of Financial Economics,,price,Yield curve slope measured as difference in return between long-term government bond and 1-month Treasury bill,yes,OHLCV 33y + 1m intraday,HLZ
Unanticipated inflation,"Chan, Chen and Hsieh (1985)",Journal of Financial Economics,,macro,Realized minus expected inflation,partial,Yahoo proxies (FRED blocked),HLZ
Mean consumption growth,Korniotis (2008),Review of Financial Studies,2008,macro,Across-state mean consumption growth rate,partial,Yahoo proxies (FRED blocked),HLZ
Mean habit growth,Korniotis (2008),Review of Financial Studies,,macro,Across-state mean habit growth rate,partial,Yahoo proxies (FRED blocked),HLZ
Variance of consumption growth,Korniotis (2008),Review of Financial Studies,,risk/vol,Across-state consumption growth variance,yes,OHLCV 33y + 1m intraday,HLZ
Variance of habit growth,Korniotis (2008),Review of Financial Studies,,risk/vol,Across-state habit growth variance,yes,OHLCV 33y + 1m intraday,HLZ
Aggregate real consumption,Breeden (1979),Journal of Financial Economics,1979,macro,THEORY,partial,Yahoo proxies (FRED blocked),HLZ
Expected inflation,Stulz (1986),Journal of Finance,1986,macro,THEORY,partial,Yahoo proxies (FRED blocked),HLZ
Exposure to financial distress costs,George and Hwang (2010),Journal of Financial Economics,2010,other,THEORY,unknown,,HLZ
Financial constraints,"Livdan, Sapriza and Zhang (2009)",Journal of Finance,2009,macro,THEORY,partial,Yahoo proxies (FRED blocked),HLZ
Foreign exchange rate change,Adler and Dumas (1983),Journal of Finance,1983,other,THEORY,unknown,,HLZ
High order market return,Rubinstein (1973),Journal of Financial and Quantitative Analysis,1973,price,THEORY,yes,OHLCV 33y + 1m intraday,HLZ
Individual consumer's wealth,Constantinides (1982),Journal of Business,1982,other,THEORY,unknown,,HLZ
Individual investor resources,Rubinstein (1974),Journal of Financial Economics,1974,other,THEORY,unknown,,HLZ
Inter-cohort consumption differences,"Garleanu, Kogan and Panageas (2012)",Journal of Financial Economics,2012,macro,THEORY,partial,Yahoo proxies (FRED blocked),HLZ
Investment opportunity change,"Cox, Ingersoll and Ross (1985)",Econometrica,1985,fundamental,THEORY,no-data,needs paid fundamentals depth,HLZ
Marginal rate of substitution,Lucas (1978),Econometrica,1978,macro,THEORY,partial,Yahoo proxies (FRED blocked),HLZ
Relative prices of consumption goods,Heckerman (1972),Journal of Finance,1972,price,THEORY,yes,OHLCV 33y + 1m intraday,HLZ
Shareholder recovery,Garlappi and Yan (2011),Journal of Finance,2011,other,THEORY,unknown,,HLZ
Short sale restrictions,Jarrow (1980),Journal of Finance,1980,positioning/flow,THEORY,partial,"FINRA short-vol 2018+, CFTC COT",HLZ
State variables representing future investment opportunity,Merton (1973),Econometrica,1973,fundamental,THEORY,no-data,needs paid fundamentals depth,HLZ
Transaction costs,Constantinides (1986),Journal of Political Economy,1986,other,THEORY,unknown,,HLZ
World consumption,Stulz (1981),Journal of Financial Economics,1981,macro,THEORY,partial,Yahoo proxies (FRED blocked),HLZ
World market return,Solnik (1974),Journal of Economic Theory,1974,price,THEORY,yes,OHLCV 33y + 1m intraday,HLZ
Attenuated returns,"Chordia, Subrahmanyam and Tong (2013)",Working Paper,2013,price,Composite trading strategy returns where the weights are based on averaging percentile rank scores of various characteristics for each stock on portfolios,yes,OHLCV 33y + 1m intraday,HLZ
Consumption growth volatility,"Ferson, Nallareddy and Xie (2012)",Journal of Financial Economics,,risk/vol,Consumption growth volatility shocks identified from the risk-free rate and market price-dividend ratio based on Bansal and Yaron (2005)'s long-run risk model,yes,OHLCV 33y + 1m intraday,HLZ
Cross-sectional pricing inefficiency,"Akbas, Armstrong, Sorescu and Subrahmanyam (2013)",Working Paper,2013,price,"Pricing inefficiency proxied by returns to simulated trading strategies that capture momentum, profitability, value, earnings and reversal",yes,OHLCV 33y + 1m intraday,HLZ
Expected dividend growth,"Doskov, Pekkala and Ribeiro (2013)",Working Paper,2013,fundamental,Expected dividend growth based on a macro time-series model,no-data,needs paid fundamentals depth,HLZ
Expected dividend level,"Doskov, Pekkala and Ribeiro (2013)",Working Paper,2013,fundamental,Expected dividend level based on a macro time-series model,no-data,needs paid fundamentals depth,HLZ
Fourth-quarter to fourth-quarter consumption growth,Jagannathan and Wang  (2007),Journal of Finance,2007,macro,Fourth-quarter to fourth-quarter consumption growth rate,partial,Yahoo proxies (FRED blocked),HLZ
GDP growth news,Vassalou (2003),Journal of Financial Economics,2003,macro,GDP growth news obtained from predictive regressions on lagged equity and fixed-income portfolios,partial,Yahoo proxies (FRED blocked),HLZ
Idiosyncratic consumption,Jacobs and Wang (2004),Journal of Finance,2004,risk/vol,Cross-sectional consumption growth variance,yes,OHLCV 33y + 1m intraday,HLZ
Interaction between index and option return,Vanden (2006),Review of Financial Studies,,options,Product of market and option returns,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Investment portfolio return,"Chen, Novy-Marx and Zhang (2011)",Working Paper,2011,price,Difference between returns of portfolios with low and high investment-to-asset ratio,yes,OHLCV 33y + 1m intraday,HLZ
Investors' beliefs,Ozoguz (2008),Review of Financial Studies,2009,options,Belief extracted from a two-state regime-switching model of aggregate market return and aggregate output,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Investors' uncertainty,Ozoguz (2008),Review of Financial Studies,,options,Uncertainty extracted from a two-state regime-switching model of aggregate market return and aggregate output,partial,"CBOE chain + VIX/SKEW/VVIX, shallow history",HLZ
Knightian uncertainty,"Viale, Garcia-Feijoo and Giannetti (2011)",Working Paper,2011,macro,Knightian uncertainty estimated from an investor's optimization problem under Knightian uncertainty,partial,Yahoo proxies (FRED blocked),HLZ
Learning,"Viale, Garcia-Feijoo and Giannetti (2011)",Working Paper,2012,macro,Learning estimated from an investor's optimization problem under Knightian uncertainty,partial,Yahoo proxies (FRED blocked),HLZ
Long-run consumption growth,"Ferson, Nallareddy and Xie (2012)",Journal of Financial Economics,2012,price,Long-run consumption growth rate identified from the risk-free rate and market price-dividend ratio based on Bansal and Yaron (2005)'s long-run risk model,yes,OHLCV 33y + 1m intraday,HLZ
Long-run stockholder consumption growth,"Malloy, Moskowitz and Vissing-Jorgensen (2009)",Journal of Finance,2009,macro,Aggregated microlevel stockholder consumption,partial,Yahoo proxies (FRED blocked),HLZ
Long-term interest rate,Sweeney and Warga (1986),Journal of Finance,1986,macro,Change in the yield of long-term government bonds,partial,Yahoo proxies (FRED blocked),HLZ
Market return,"Chen, Novy-Marx and Zhang (2011)",Working Paper,2011,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Lo and Wang (2006),Journal of Finance,2006,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Market return,Vanden (2006),Review of Financial Studies,2006,price,Equity index return and its square,yes,OHLCV 33y + 1m intraday,HLZ
Retail investor sentiment,Kumar and Lee (2006),Journal of Finance,2006,other,Systematic retail trading based on transaction data,unknown,,HLZ
Short-run consumption growt,"Ferson, Nallareddy and Xie (2012)",Journal of Financial Economics,,price,Short-run consumption growth rate identified from the risk-free rate and market price-dividend ratio based on Bansal and Yaron (2005)'s long-run risk model,yes,OHLCV 33y + 1m intraday,HLZ
Squared market return,Kraus and Litzenberger (1976),Journal of Finance,,price,Square of equity index return,yes,OHLCV 33y + 1m intraday,HLZ
Treasury bill return,Oldfield and Rogalski (1981),Journal of Finance,1981,price,Principle components extracted from returns of Treasury bills,yes,OHLCV 33y + 1m intraday,HLZ
Distress risk,Kapadia (2011),Journal of Financial Economics,2011,other,Aggregate distress risk obtained by projecting future business failure growth rates on a set of basis assets,unknown,,HLZ
Change in G-7 industrial production,Ferson and Harvey (1993),Review of Financial Studies,,macro,Change in G-7 industrial production,partial,Yahoo proxies (FRED blocked),HLZ
Change in long-term inflationary expectations,Ferson and Harvey (1993),Review of Financial Studies,,macro,Change in long-term inflationary expectations,partial,Yahoo proxies (FRED blocked),HLZ
Change in long-term inflationary expectations,Ferson and Harvey (1994),Journal of Banking and Finance,,macro,Change in long-term inflationary expectations,partial,Yahoo proxies (FRED blocked),HLZ
Change in oil price,Ferson and Harvey (1993),Review of Financial Studies,,price,Change in the monthly average US dollar price per barrel of crude oil,yes,OHLCV 33y + 1m intraday,HLZ
Change in oil price,Ferson and Harvey (1994),Journal of Banking and Finance,,price,Change in the monthly average US dollar price per barrel of crude oil,yes,OHLCV 33y + 1m intraday,HLZ
Change in the Eurodollar-Treasury yield spread,Ferson and Harvey (1993),Review of Financial Studies,,microstructure,First difference of the spread between the 90-day Eurodollar yield and the 90-day Treasury-bill yield,partial,"volume/range only, no L2",HLZ
Change in weighted exchange rate,Ferson and Harvey (1993),Review of Financial Studies,,price,Log first difference of the trade-weighted US dollar price of ten industrialized countries' currencies,yes,OHLCV 33y + 1m intraday,HLZ
Change in weighted exchange rate,Ferson and Harvey (1994),Journal of Banking and Finance,,price,Log first difference of the trade-weighted US dollar price of ten industrialized countries' currencies,yes,OHLCV 33y + 1m intraday,HLZ
Fitted return based on predictive regressions,Ferson and Harvey (1999),Journal of Finance,1999,price,"Expected portfolio return obtained by projecting historical returns on lagged macro instruments, including term spreads, dividend yield, credit spread and short-term Treasury bill",yes,OHLCV 33y + 1m intraday,HLZ
Unexpected inflation for the G-7 countries,Ferson and Harvey (1993),Review of Financial Studies,,macro,Unexpected inflation based on a time-series model on an aggregate G-7 inflation rate,partial,Yahoo proxies (FRED blocked),HLZ
Weighted real short-term interest rate,Ferson and Harvey (1993),Review of Financial Studies,,macro,GDP weighted average of short-term interest rates in G-7 countries,partial,Yahoo proxies (FRED blocked),HLZ
World equity return,Ferson and Harvey (1993),Review of Financial Studies,1993,price,US dollar return of the MSCI world equity market in excess of a short-term interest rate,yes,OHLCV 33y + 1m intraday,HLZ
World equity return,Ferson and Harvey (1994),Journal of Banking and Finance,1994,price,US dollar return of the MSCI world equity market in excess of a short-term interest rate,yes,OHLCV 33y + 1m intraday,HLZ
Dividend yield,Campbell (1996),Journal of Political Economy,,fundamental,Dividend yield on value-weighted index,no-data,needs paid fundamentals depth,HLZ
Entrepreneur income,Heaton and Lucas (2000),Journal of Finance,2000,other,Proprietary income of entrepreneurs,unknown,,HLZ
Housing price ratio,Lustig and Nieuwerburgh (2005),Journal of Finance,2005,price,Ratio of housing to human wealth,yes,OHLCV 33y + 1m intraday,HLZ
Labor income,Campbell (1996),Journal of Political Economy,,macro,Real labor income growth rate,partial,Yahoo proxies (FRED blocked),HLZ
Market return,Campbell (1996),Journal of Political Economy,1996,price,Equity index return,yes,OHLCV 33y + 1m intraday,HLZ
