claim,source,journal,year,category,definition,testable,data_needed,meta
Absolute return-to-volume,Amihud (2002),NA,2002,price,,yes,OHLCV 33y + 1m intraday,HXZ
Industry lead-lag effect in prior returns,Hou (2007),NA,2007,price,,yes,OHLCV 33y + 1m intraday,HXZ
Intangible return,Daniel and Titman (2006),NA,2006,price,,yes,OHLCV 33y + 1m intraday,HXZ
Abnormal corporate investment,"Titman, Wei, and Xie (2004)",NA,2004,fundamental,,no-data,needs paid fundamentals depth,HXZ
Changes in PPE and inventory/assets,"Lyandres, Sun and Zhang (2008)",NA,2008,fundamental,,no-data,needs paid fundamentals depth,HXZ
Inventory growth,Belo and Lin (2011),NA,2011,fundamental,,no-data,needs paid fundamentals depth,HXZ
Customer industries momentum,Menzly and Ozbas (2010),NA,2010,price,,yes,OHLCV 33y + 1m intraday,HXZ
Supplier industries momentum,Menzly and Ozbas (2010),NA,2010,price,,yes,OHLCV 33y + 1m intraday,HXZ
Debt-to-market,Bhandari (1988),NA,1988,fundamental,,no-data,needs paid fundamentals depth,HXZ
Reversal,De Bondt and Thaler (1985),NA,1985,price,,yes,OHLCV 33y + 1m intraday,HXZ
Maximum daily return,"Bali, Cakici, and Whitelaw (2011)",NA,2011,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Five-year sales growth rank,","Lakonishok, Scheifer, and Vishny (1994)",NA,1994,fundamental,,no-data,needs paid fundamentals depth,HXZ
Price momentum (11-month prior returns),Jegadeesh and Titman (1993),NA,1993,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Year 1-lagged return, nonannual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
Price momentum (6-month prior returns),Jegadeesh and Titman (1993),NA,1993,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Years 2-5-lagged returns, nonannual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Years 6-10-lagged returns, nonannual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Years 16-20-lagged returns, nonannual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Years 2-5-lagged returns, annual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Years 6-10-lagged returns, annual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Years 11-15-lagged returns, annual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
"Years 16-20-lagged returns, annual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
"12-month-lagged return, annual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
Growth (G) score,Mohanram (2005),NA,2005,other,,unknown,,HXZ
Neb debt finance,"Bradshaw, Richardson, and Sloan (2006)",NA,2006,fundamental,,no-data,needs paid fundamentals depth,HXZ
Net debt-to-price,"Penman, Richardson, and Tuna (2007)",NA,2007,price,,yes,OHLCV 33y + 1m intraday,HXZ
Net equity finance,"Bradshaw, Richardson, and Sloan (2006)",NA,2006,other,,unknown,,HXZ
Net payout yield,"Boudoukh, Michaely, Richardson, and Roberts (2007)",NA,2007,other,,unknown,,HXZ
Net ooperating assets,"Hirschleifer, Hou Teoh, and Zhang (2004)",NA,2004,other,,unknown,,HXZ
Operating leverage,Novy-Marx (2011),NA,2011,other,,unknown,,HXZ
Order backlag,"Rajgopal, Shevlin and Venkatachalam (2003)",NA,2003,other,,unknown,,HXZ
Industry-adjusted organizationa capital,Eisfeldt and Papanikolaou (2013),NA,2013,other,,unknown,,HXZ
O-score,Dichev (1998),NA,1998,other,,unknown,,HXZ
Patent-to-R&D capital,"Hirschleifer, Hsu and Li (2013)",NA,2013,fundamental,,no-data,needs paid fundamentals depth,HXZ
Payout Yield,"Boudoukh, Michaely, Richardson, and Roberts (2007)",NA,2007,other,,unknown,,HXZ
Percent operating accruals,"Hafzalla, Lundholm, and Van Winkle (2011)",NA,2011,fundamental,,no-data,needs paid fundamentals depth,HXZ
Percent total accruals,"Hafzalla, Lundholm, and Van Winkle (2011)",NA,2011,fundamental,,no-data,needs paid fundamentals depth,HXZ
Share price,Miller and Scholes (1982),NA,1982,price,,yes,OHLCV 33y + 1m intraday,HXZ
Price delay based on Rsq,Hou and Moskowitz (2005),NA,2005,price,,yes,OHLCV 33y + 1m intraday,HXZ
Fundamental (F) score,Piotroski (2000),NA,2000,other,,unknown,,HXZ
R&D-to-market,"Chan, Lakonishok, and Sougiannis (2001)",NA,2001,fundamental,,no-data,needs paid fundamentals depth,HXZ
R&D capital-to-assets,Li (2011),NA,2011,fundamental,,no-data,needs paid fundamentals depth,HXZ
Eleven-month residual momentum,"Blitz, Huij, and Martens (2011)",NA,2011,price,,yes,OHLCV 33y + 1m intraday,HXZ
Segment momentum,Cohen and Lou (2012),NA,2012,price,,yes,OHLCV 33y + 1m intraday,HXZ
Total skewness,"Bali, Engle, and Murray (2015)",NA,2015,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Idiosyncratic skewness per the FF 3-factor model,"Bali, Engle, and Murray (2015)",NA,2015,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Revisions in analyst's' earnings forecasts,"Chan, Jegadeesh, and Lakonishok (1996)",NA,1996,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Revenue surprise,Jegadeesh and Livnat (2006),NA,2006,fundamental,,no-data,needs paid fundamentals depth,HXZ
Return on assets,"Balakrishnan, Bartov, and Faurel (2010)",JAE,2010,price,,yes,OHLCV 33y + 1m intraday,HXZ
net stock issues,Pontiff and Woodgate (2008),NA,2008,other,,unknown,,HXZ
Share turnover,"Datar, Naik, and Radcliffe (1998)",NA,1998,microstructure,,partial,"volume/range only, no L2",HXZ
Market equity,Banz (1981),NA,1981,other,,unknown,,HXZ
Coefficient of variation for share turnover,"Chordia, Subrahmanyam, and Anshuman (2001)",NA,2001,microstructure,,partial,"volume/range only, no L2",HXZ
Short-term reversal,Jegadeesh (1990),NA,1990,price,,yes,OHLCV 33y + 1m intraday,HXZ
Tangibility of assets,Hahn and Lee (2009),NA,2009,other,,unknown,,HXZ
Taxable income-to-book income,Lev and Nissim (2004),NA,2004,fundamental,,no-data,needs paid fundamentals depth,HXZ
Total accruals,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,fundamental,,no-data,needs paid fundamentals depth,HXZ
Coefficient of variation for dollar trading,"Chordia, Subrahmanyam, and Anshuman (2001)",NA,2001,other,,unknown,,HXZ
Net external finance,"Bradshaw, Richardson, and Sloan (2006)",NA,2006,other,,unknown,,HXZ
Prior 6-month turnoever-adjusted numer of zero daily trading volume,Liu (2006),NA,2006,microstructure,,partial,"volume/range only, no L2",HXZ
Prior 1-month turnoever-adjusted numer of zero daily trading volume,Liu (2006),NA,2006,microstructure,,partial,"volume/range only, no L2",HXZ
